session_id,scan_no,id,present
2023-02-09_ds_findus_1,1,as,TRUE
2023-02-09_ds_findus_1,1,bs,TRUE
2023-02-09_ds_findus_1,1,cs,FALSE
2023-02-09_ds_findus_1,1,ds,FALSE
2023-02-09_ds_findus_1,1,es,FALSE
2023-02-09_ds_findus_1,1,fs,FALSE
2023-02-09_ds_findus_1,1,hs,TRUE
2023-02-09_ds_findus_1,1,zj,TRUE
2023-02-09_ds_findus_1,1,ij,FALSE
2023-02-09_ds_findus_1,1,new1,FALSE
2023-02-09_ds_findus_1,1,new2,FALSE
2023-02-09_ds_findus_1,1,AM1,FALSE
2023-02-09_ds_findus_1,1,AF1,FALSE
2023-02-09_ds_findus_1,1,J1,FALSE
2023-02-09_ds_findus_1,1,I1,FALSE
2023-02-09_ds_findus_1,1,km,FALSE
2023-02-09_ds_findus_1,2,as,TRUE
2023-02-09_ds_findus_1,2,bs,FALSE
2023-02-09_ds_findus_1,2,cs,FALSE
2023-02-09_ds_findus_1,2,ds,FALSE
2023-02-09_ds_findus_1,2,es,FALSE
2023-02-09_ds_findus_1,2,fs,FALSE
2023-02-09_ds_findus_1,2,hs,FALSE
2023-02-09_ds_findus_1,2,zj,FALSE
2023-02-09_ds_findus_1,2,ij,FALSE
2023-02-09_ds_findus_1,2,new1,FALSE
2023-02-09_ds_findus_1,2,new2,FALSE
2023-02-09_ds_findus_1,2,AM1,FALSE
2023-02-09_ds_findus_1,2,AF1,FALSE
2023-02-09_ds_findus_1,2,J1,FALSE
2023-02-09_ds_findus_1,2,I1,FALSE
2023-02-09_ds_findus_1,2,km,TRUE
