session_id,scan_no,id,present
2023-02-10_ap_jeanne_1,1,ap,NA
2023-02-10_ap_jeanne_1,1,bp,FALSE
2023-02-10_ap_jeanne_1,1,cp,TRUE
2023-02-10_ap_jeanne_1,1,lm,FALSE
2023-02-10_ap_jeanne_1,1,rm,TRUE
2023-02-10_ap_jeanne_1,1,dp,TRUE
2023-02-10_ap_jeanne_1,1,oneye,FALSE
2023-02-10_ap_jeanne_1,1,ep,FALSE
2023-02-10_ap_jeanne_1,1,new1,FALSE
2023-02-10_ap_jeanne_1,1,new2,FALSE
2023-02-10_ap_jeanne_1,1,AM1,FALSE
2023-02-10_ap_jeanne_1,1,AF1,FALSE
2023-02-10_ap_jeanne_1,1,J1,FALSE
2023-02-10_ap_jeanne_1,1,I1,FALSE
