session_id,scan_no,id,present
2023-02-12_ap_findus_1,1,ap,FALSE
2023-02-12_ap_findus_1,1,bp,TRUE
2023-02-12_ap_findus_1,1,cp,TRUE
2023-02-12_ap_findus_1,1,lm,FALSE
2023-02-12_ap_findus_1,1,rm,TRUE
2023-02-12_ap_findus_1,1,dp,TRUE
2023-02-12_ap_findus_1,1,oneye,FALSE
2023-02-12_ap_findus_1,1,ep,FALSE
2023-02-12_ap_findus_1,1,new1,FALSE
2023-02-12_ap_findus_1,1,new2,FALSE
2023-02-12_ap_findus_1,1,AM1,FALSE
2023-02-12_ap_findus_1,1,AF1,FALSE
2023-02-12_ap_findus_1,1,J1,TRUE
2023-02-12_ap_findus_1,1,I1,TRUE
2023-02-12_ap_findus_1,2,ap,FALSE
2023-02-12_ap_findus_1,2,bp,FALSE
2023-02-12_ap_findus_1,2,cp,TRUE
2023-02-12_ap_findus_1,2,lm,FALSE
2023-02-12_ap_findus_1,2,rm,TRUE
2023-02-12_ap_findus_1,2,dp,TRUE
2023-02-12_ap_findus_1,2,oneye,TRUE
2023-02-12_ap_findus_1,2,ep,TRUE
2023-02-12_ap_findus_1,2,new1,FALSE
2023-02-12_ap_findus_1,2,new2,FALSE
2023-02-12_ap_findus_1,2,AM1,FALSE
2023-02-12_ap_findus_1,2,AF1,FALSE
2023-02-12_ap_findus_1,2,J1,TRUE
2023-02-12_ap_findus_1,2,I1,TRUE
